Day	Pexc	Nexc	Cexc	Pwst	Nwst	Cwst
18293	0.61461	13.09105	99.76651	10.41618	119.20916	754.73845
18294	0.61665	13.13436	100.09662	10.45065	119.60359	757.23568
18295	0.62046	13.21564	100.71603	10.51532	120.34372	761.92157
18296	0.62321	13.27426	101.16274	10.56195	120.87749	765.30098
18297	0.62614	13.33669	101.63853	10.61163	121.44599	768.90032
18298	0.62778	13.37159	101.90451	10.6394	121.76381	770.91246
18299	0.62527	13.31815	101.49723	10.59688	121.27716	767.83137
18300	0.63021	13.42318	102.29771	10.68045	122.23363	773.88704
18301	0.63197	13.46069	102.58351	10.71029	122.57514	776.04918
18302	0.63687	13.56525	103.38037	10.79349	123.52729	782.07743
18303	0.64004	13.63264	103.89398	10.84711	124.141	785.96295
18304	0.64147	13.66314	104.1264	10.87138	124.4187	787.72117
18305	0.64355	13.70753	104.46467	10.90669	124.8229	790.28024
18306	0.64895	13.82247	105.34062	10.99815	125.86956	796.90685
18307	0.64075	13.64768	104.0086	10.85908	124.27795	786.83001
18308	0.64317	13.69928	104.40181	10.90013	124.74779	789.8047
18309	0.64835	13.80961	105.24267	10.98792	125.75251	796.16581
18310	0.64678	13.77615	104.98762	10.96129	125.44777	794.23639
18311	0.64199	13.67427	104.21123	10.88023	124.52007	788.36294
18312	0.63233	13.46836	102.64201	10.7164	122.64504	776.49175
18313	0.64067	13.64609	103.99649	10.85781	124.26348	786.73841
18314	0.64627	13.76533	104.90521	10.95269	125.34929	793.61292
18315	0.64211	13.67677	104.23025	10.88222	124.54279	788.5068
18316	0.64385	13.71388	104.51309	10.91175	124.88076	790.64654
18317	0.6466	13.77234	104.95863	10.95827	125.41313	794.01709
18318	0.64629	13.76584	104.90905	10.95309	125.35388	793.642
18319	0.6449	13.73623	104.68344	10.92954	125.0843	791.93522
18320	0.63332	13.48957	102.80362	10.73327	122.83814	777.7143
18321	0.65673	13.98822	106.60381	11.13003	127.37892	806.4629
18322	0.65183	13.88377	105.80785	11.04693	126.42784	800.44142
18323	0.63274	13.4772	102.70932	10.72343	122.72547	777.00093
18324	0.64655	13.77128	104.95052	10.95742	125.40343	793.95567
18325	0.66575	14.18019	108.06685	11.28278	129.12708	817.5309
18326	0.66883	14.24594	108.56788	11.33509	129.72575	821.32121
