Day        Pexc        Nexc        Cexc        Pwst        Nwst        Cwst
19042        0.83091        18.95975        104.43273        15.81476        180.99382        1145.91022
19043        0.82769        18.88638        104.0286        15.75356        180.29341        1141.47577
19044        0.8198        18.70641        103.03733        15.60345        178.57544        1130.59893
19045        0.83349        19.01868        104.75733        15.86392        181.55639        1149.47199
19046        0.83331        19.01462        104.73496        15.86053        181.51762        1149.22649
19047        0.83234        18.99237        104.61243        15.84197        181.30526        1147.88199
19048        0.82044        18.72085        103.11686        15.61549        178.71327        1131.47156
19049        0.82404        18.80303        103.56952        15.68404        179.49777        1136.43839
19050        0.7879        17.97838        99.02723        14.99618        171.62546        1086.59718
19051        0.80924        18.46539        101.70975        15.40241        176.27459        1116.03175
19052        0.83631        19.08316        105.11251        15.9177        182.17194        1153.36918
19053        0.83761        19.11268        105.27508        15.94232        182.4537        1155.15304
19054        0.83337        19.0159        104.74205        15.8616        181.5299        1149.30423
19055        0.82513        18.82789        103.70645        15.70478        179.73508        1137.94089
19056        0.83029        18.94565        104.35506        15.803        180.85921        1145.05796
19057        0.81642        18.62929        102.61254        15.53912        177.83923        1125.93782
19058        0.83266        18.9998        104.65334        15.84817        181.37616        1148.33087
19059        0.83785        19.11826        105.30583        15.94698        182.50699        1155.49043
19060        0.84467        19.27383        106.16275        16.07675        183.99213        1164.89316
19061        0.83628        19.08231        105.10783        15.91699        182.16383        1153.31783
19062        0.83344        19.01761        104.75145        15.86303        181.54619        1149.40739
19063        0.84184        19.20933        105.80748        16.02295        183.37642        1160.99494
19064        0.85677        19.54986        107.68316        16.30699        186.62719        1181.57627
19065        0.84424        19.26404        106.10879        16.06857        183.89861        1164.30109
19066        0.83893        19.14279        105.44097        15.96744        182.74121        1156.97329
19067        0.83763        19.11308        105.27728        15.94266        182.45752        1155.17722
19068        0.83062        18.95317        104.39652        15.80928        180.93105        1145.51283
19069        0.82844        18.90336        104.12216        15.76773        180.45556        1142.5024
19070        0.83111        18.9645        104.45889        15.81872        181.03916        1146.19728
19071        0.85836        19.5863        107.88387        16.33738        186.97503        1183.77852
19072        0.87271        19.91361        109.68673        16.6104        190.0996        1203.56084
19073        0.87229        19.90396        109.63354        16.60235        190.00742        1202.97722
19074        0.88344        20.15845        111.03534        16.81463        192.4369        1218.35876
19075        0.88802        20.26294        111.6109        16.90179        193.43441        1224.67421
19076        0.86019        19.62803        108.1137        16.37219        187.37336        1186.30044
19077        0.83397        19.02971        104.81807        15.87311        181.66165        1150.1384
19078        0.82917        18.92022        104.21501        15.78179        180.61648        1143.5212
19079        0.86671        19.77674        108.9328        16.49623        188.79296        1195.28822
19080        0.86615        19.76403        108.86282        16.48563        188.67167        1194.52029
19081        0.86223        19.67448        108.36955        16.41093        187.81677        1189.10777
19082        0.85743        19.56506        107.76687        16.31967        186.77225        1182.4947
19083        0.8694        19.8381        109.27081        16.54741        189.37876        1198.99705
19084        0.87639        19.99759        110.14928        16.68045        190.90125        1208.63629
19085        0.86989        19.84919        109.3319        16.55667        189.48463        1199.66733
19086        0.86588        19.75769        108.82792        16.48035        188.61118        1194.13733
19087        0.85929        19.60749        108.00055        16.35505        187.17725        1185.05886
19088        0.84845        19.36        106.63737        16.14862        184.81472        1170.10113
19089        0.85277        19.45861        107.18054        16.23087        185.75608        1176.06109
19090        0.87584        19.98495        110.07967        16.6699        190.7806        1207.87239
19091        0.89314        20.37981        112.25463        16.99927        194.55006        1231.73764
19092        0.84808        19.35161        106.59113        16.14162        184.73457        1169.5937
19093        0.87975        20.07429        110.57179        16.74443        191.6335        1213.27232
19094        0.88336        20.15656        111.02491        16.81305        192.41881        1218.24426
19095        0.88266        20.14069        110.93751        16.79981        192.26734        1217.28527
19096        0.87936        20.06533        110.5224        16.73695        191.54791        1212.73041
19097        0.88208        20.12738        110.86417        16.78871        192.14024        1216.48057
19098        0.87528        19.97227        110.00982        16.65933        190.65956        1207.10604
19099        0.90665        20.68815        113.95296        17.25646        197.49347        1250.37298
19100        0.91998        20.99216        115.62753        17.51004        200.39567        1268.74745
19101        0.89485        20.41882        112.4695        17.03181        194.92245        1234.09534
19102        0.88886        20.28223        111.71714        16.91787        193.61853        1225.83994
19103        0.90122        20.56419        113.27018        17.15306        196.31012        1242.88094
19104        0.90223        20.58733        113.39764        17.17236        196.53102        1244.27953
19105        0.93237        21.27503        117.18562        17.74599        203.09603        1285.84402
19106        0.90784        20.71527        114.10239        17.27908        197.75244        1252.01258
19107        0.91682        20.92008        115.23048        17.44992        199.70754        1264.39078
19108        0.94365        21.53237        118.60309        17.96065        205.55266        1301.39743
19109        0.9012        20.56362        113.26706        17.15259        196.30471        1242.84672
19110        0.94673        21.60255        118.98965        18.01919        206.22261        1305.63905
19111        0.92013        20.9956        115.64647        17.51291        200.4285        1268.95529
19112        0.92203        21.03905        115.88579        17.54915        200.84327        1271.58127
19113        0.9338        21.30765        117.3653        17.7732        203.40743        1287.81555
19114        0.93485        21.33161        117.49727        17.79319        203.63616        1289.26366
19115        0.97928        22.34548        123.08175        18.63887        213.3147        1350.54054
19116        0.99595        22.72571        125.17614        18.95604        216.94451        1373.52164
19117        0.97087        22.15346        122.02409        18.47871        211.48164        1338.9351
19118        0.98844        22.55443        124.23271        18.81317        215.30944        1363.16968
19119        0.98785        22.54099        124.15866        18.80196        215.18111        1362.35717
19120        0.97535        22.25566        122.58703        18.56396        212.45729        1345.11212
19121        0.9875        22.53301        124.11471        18.7953        215.10493        1361.87486
19122        0.98503        22.47645        123.80319        18.74813        214.56504        1358.45671
19123        0.9678        22.08333        121.63784        18.42022        210.81223        1334.69692
19124        0.95968        21.89802        120.61708        18.26564        209.04314        1323.49643
19125        0.96717        22.06897        121.55871        18.40823        210.67509        1333.82863
19126        0.9747        22.24083        122.50534        18.55158        212.31571        1344.21572
19127        0.91403        20.85651        114.88033        17.39689        199.1007        1260.5487
