"day","0_faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2"
196,8.51374620617575,1.68374917467964,1.88198600347043,0.372197185981815,13.8609762795282,2.74126181421527,44.5779073960045,11.2787026055095,40.3323924059088,10.2045404526039,93.4013297821047,23.6315673639248
197,8.19070829200679,1.62017506994439,1.81057762244361,0.358143962829813,13.3350478859339,2.6377587103656,48.6407799383606,10.8528473584792,44.0083247061358,9.81924284814782,101.914015108946,22.7392992272897
198,8.39522328540095,1.66095043171744,1.85578619993074,0.367157463853328,13.6680126471089,2.70414386076102,48.2201955769381,11.1259837531311,43.6277959981821,10.0663662528329,101.032790732632,23.3115850065605
199,8.03490477204429,1.58997098982944,1.77613684434663,0.351467271435981,13.0813888218545,2.58858434835389,52.5327799316814,10.6505233768479,47.529658033426,9.6361878171481,110.068681761618,22.3153823133956
200,8.09831917693939,1.60283006318407,1.79015476542871,0.354309803440689,13.1846319231575,2.60951982216634,53.0573564844081,10.7366607103239,48.0042749144645,9.71412159505496,111.16779453876,22.4958605359168
201,8.26540274922123,1.63621662813706,1.82708902877522,0.36168999148293,13.4566557039953,2.66387549282666,53.8370892126041,10.96030277221,48.7097473828323,9.91646441295189,112.80152025498,22.9644439036781
202,8.55274075419481,1.69342648015225,1.89060585092727,0.374336379823129,13.9244621401628,2.75701714663384,52.8616885742503,11.3435266613069,47.8272420433693,10.2631907888015,110.757823679382,23.7673891951193
203,8.44607359590803,1.67263129720186,1.86702679488493,0.369739549907779,13.7508005210573,2.72316112947952,55.4751435644606,11.2042287850842,50.1917965583215,10.137159376981,116.23363413506,23.4755269782717
204,8.59591477127606,1.70263606305235,1.90014958101892,0.37637218235894,13.9947524697266,2.77201099388171,55.4207638286775,11.4052176472406,50.142595844994,10.3190064427415,116.119695641039,23.8966464989803
205,8.68624557900471,1.72086278469372,1.92011744377999,0.380401247142822,14.1418173637129,2.80168537578205,56.7146005297141,11.5273105194795,51.3132100030747,10.4294714223862,118.830591586068,24.1524601360522
206,8.46490203588634,1.6773377342687,1.87118887109067,0.370779920206765,13.781454542636,2.73082353930061,59.1466151149167,11.2357551577807,53.5136041515913,10.1656832379921,123.926241193159,23.5415822353501
207,8.61090783031053,1.70660091407085,1.90346383617391,0.377248623110399,14.0191622219792,2.778466049575,60.0674946323645,11.4317764578909,54.3467808578536,10.3430358428537,125.85570303924,23.952293530819
208,9.19520358382412,1.8227573051941,2.03262395010849,0.402925299042907,14.9704367119101,2.96757680564935,57.1028718584082,12.2098575467548,51.6645031099884,11.0470139708733,119.644112465236,25.5825586693909
209,9.58846911532627,1.90108346543537,2.11955633075633,0.420239502885714,15.6107005947768,3.09509729109478,56.3674513668317,12.7345303904762,50.9991226652287,11.5217179723356,118.103231435266,26.6818731990929
210,9.48662226633008,1.88125616020145,2.0970428167677,0.415856624886636,15.4448867774637,3.06281704678411,57.9989886443096,12.6017159056556,52.4752754400896,11.4015524860694,121.521690492839,26.4035952308975
211,10.5531204380105,2.09315456947984,2.3327950441918,0.462697325885018,17.1812206429364,3.40780252715315,52.7538611373879,14.0211310874248,47.7296838862081,12.6857852695748,110.531899525956,29.3776079926996
212,10.7173549503686,2.12613809049701,2.36909951534465,0.469988420004602,17.4486059542844,3.46150201400214,52.6030247371411,14.2420733334728,47.5932128574134,12.8856853969515,110.21586135401,29.8405346034667
213,10.6233669827781,2.10789808852602,2.34832322777201,0.465956419568911,17.2955869474002,3.43180601079324,52.2827644951881,14.1198915020882,47.3034535908845,12.7751399304607,109.54483989468,29.5845345758038
214,10.7373650125528,2.13092848926613,2.37352279224852,0.471047350258829,17.4811837397351,3.46930111936661,49.6197331083478,14.2741621290554,44.8940442408861,12.9147181167644,103.965155084157,29.9077682704018
215,10.7998841930132,2.14374920215637,2.38734282161344,0.473881402581934,17.5829693528355,3.49017413965107,48.2511101198055,14.3600425024828,43.6557662988717,12.9924194070083,101.097564060545,30.0877081004402
216,10.9548353639092,2.17492546873063,2.42159518570624,0.480772998350981,17.8352407328205,3.54093128944214,45.3137661628605,14.5688787379085,40.9981693854452,13.1813664771553,94.9431291031363,30.5252697365702
217,11.0340680091249,2.19107743582052,2.43910977043813,0.484343433181378,17.9642370394173,3.56722782533586,43.8331974449455,14.677073732769,39.6586072120936,13.279257186791,91.840985122743,30.751964011516
218,11.0375031859677,2.19218150223705,2.43986912531919,0.48458748996819,17.9698297483826,3.56902532294032,41.9108078519858,14.6844693929754,37.9193023422729,13.2859484984064,87.8131212136846,30.76745968052
219,10.9800550188721,2.18119222827906,2.42717005680332,0.482158282040635,17.8763001009006,3.5511340137596,41.3458148777974,14.6108570315344,37.4081182227691,13.2193468380549,86.6293264106231,30.6132242565482
220,11.1216114457093,2.20973864615725,2.45846147747259,0.48846854283476,18.1067638975759,3.59760958532267,38.4982258608527,14.8020770555988,34.8317281598191,13.392355431256,80.662949422739,31.0138757355403
221,11.1888598674128,2.22352841509686,2.47332691805967,0.491516807547728,18.2162490472966,3.62006029685945,36.8605669719935,14.8944487135675,33.3500367841846,13.4759297884658,77.2316641317958,31.2074163522367
222,11.3572220750984,2.2574205176108,2.51054382712702,0.499008745998178,18.4903545363006,3.67523901814531,34.5455961032913,15.1214771514599,31.2555393315493,13.6813364703685,72.3812489783246,31.6830949840113
223,11.4401896784811,2.27434788131714,2.52888403419057,0.502750584291158,18.6254316168956,3.7027979541444,32.802651754247,15.2348661906411,29.6785896824139,13.7839265534372,68.729365580327,31.9206720184862
224,11.4994211549576,2.28197516939594,2.541977307938,0.504436616392787,18.7218646171942,3.71521571438497,31.218710631276,15.2859580725087,28.245500094964,13.8301525417936,65.4106317988641,32.0277216757325
225,11.6097941679348,2.28011243648254,2.56637555291191,0.50402485438035,18.9015596277957,3.71218305448385,28.5800414036809,15.2734804357682,25.8581326985684,13.8188632514093,59.8819915124743,32.0015780558952
226,11.4521192481073,2.25823682124197,2.53152109695003,0.499189192064015,18.6448537934097,3.67656801774131,28.6864594850938,15.126945214061,25.9544157246087,13.6862837651029,60.1049627306727,31.6945518770803
227,11.7316055804814,2.23158128012502,2.59330228621169,0.493296914553951,19.0998771555908,3.63317092623862,24.9149884544201,14.9483913501197,22.542132411142,13.5247350310607,52.2028329521182,31.3204390192985
228,11.8923930095247,2.20257883680802,2.62884477052652,0.486885848136511,19.3616503734017,3.58595291325938,22.8884030511606,14.7541166101973,20.7085551415263,13.3489626473214,47.9566540119556,30.9133871832705
229,11.8548104454721,2.13603107454726,2.62053704584121,0.472175290163079,19.3004633217511,3.47760848628045,21.2408489966649,14.3083421261539,19.2179109969825,12.945642876044,44.5046359930122,29.9793835024177
230,11.93109560932,2.07308553953146,2.63740008206021,0.45826101400169,19.4246609218402,3.37512873804419,19.7800892332133,13.8866973939906,17.8962712110025,12.5641547850391,41.4439964886374,29.0959373969327
231,11.9743241654709,1.96631135485658,2.64695586815673,0.434658299494613,19.4950400448369,3.20129287246826,17.5912313605135,13.1714636210489,15.9158759928455,11.9170385142823,36.8578180886948,27.5973523488643
232,11.966827302963,1.91057186739799,2.64529866697076,0.42233693910903,19.4828346265783,3.1105450753427,16.6917014057039,12.79808906391,15.1020155575416,11.5792234387757,34.97308865957,26.8150437529543
233,11.9147192930112,1.80351712884071,2.63378005424457,0.398672207427947,19.3979991296743,2.93625244835822,15.1414763693906,12.0809759826651,13.6994310008772,10.9304068414589,31.7249981072946,25.3125211065363
234,11.860399062331,1.75922581965239,2.62177242430475,0.388881496975791,19.309561982181,2.86414308883757,14.555606264024,11.7842877871452,13.1693580484027,10.6619746645599,30.4974607436694,24.6908886968756
235,11.8121484404079,1.68123389806466,2.61110649735332,0.371641177466925,19.2310065836816,2.73716676737545,13.5492723958276,11.2618538626341,12.2588655009869,10.189296351907,28.388951686496,23.5962652359953
236,11.7339108945223,1.59342044601372,2.59381188194704,0.352229782803034,19.1036303686258,2.59420030508901,12.6488613872447,10.6736297819101,11.4442079217928,9.65709361220438,26.5023762399412,22.3637957335259
237,11.7173260111879,1.46269432127095,2.59014574984153,0.323332428912526,19.0766290147058,2.38136900024464,11.4304244857915,9.79795239128867,10.3418126300018,8.8648140683088,23.9494608273727,20.5290431055572
238,11.6229541382759,1.3758230059529,2.56928459898732,0.304129296052747,18.9229849830177,2.2399364026742,10.6381026906875,9.21603927432566,9.62495005347921,8.33832124819941,22.2893580185834,19.3097965747776
239,11.5410871314567,1.2923605369729,2.55118768169042,0.285679697646641,18.7896997508628,2.10405364615939,9.8569742721795,8.65696053474669,8.91821481768622,7.83248810286606,20.6527079988523,18.138393501374
240,11.4620424234068,1.19026472556536,2.53371464096362,0.263111149861817,18.6610094191606,1.93783450056957,8.96199485485654,7.97306514732777,8.1084715353464,7.21372560948704,18.7775130292232,16.7054698324963
