radius,center,image_name
19,"(1396, 948)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
17,"(906, 1144)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
18,"(858, 900)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
16,"(854, 1178)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
18,"(1336, 966)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
20,"(1014, 836)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
18,"(1442, 922)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
17,"(1412, 1002)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
18,"(1226, 1010)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
15,"(962, 860)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
17,"(1068, 1084)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
16,"(746, 946)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
16,"(768, 1214)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
14,"(984, 910)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
18,"(1082, 866)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
17,"(1142, 1114)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
16,"(926, 934)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
20,"(1178, 1034)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
17,"(826, 976)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
19,"(1304, 1044)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
18,"(1122, 1064)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
17,"(930, 1202)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
16,"(720, 1232)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
19,"(1468, 980)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
18,"(834, 1244)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
14,"(814, 1194)","image_(18, 35.44378, 23.56895, 39.9539, 23.98769, 39.96291, 23.97598).jpeg"
25,"(1854, 892)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
29,"(1204, 952)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
29,"(1362, 870)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
19,"(1626, 1126)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
19,"(1484, 1242)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
27,"(1462, 832)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
20,"(1360, 968)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
20,"(1968, 1044)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
20,"(1698, 1154)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
29,"(1152, 1050)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
20,"(1624, 864)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
19,"(1568, 878)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
19,"(1590, 1202)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
19,"(1644, 1180)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
28,"(1180, 1118)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
28,"(1266, 908)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
19,"(1518, 902)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
20,"(1380, 1022)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
18,"(1432, 996)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
14,"(1462, 1190)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
19,"(1782, 1054)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
17,"(1588, 926)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
16,"(1276, 1276)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
19,"(1414, 944)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
18,"(1892, 1010)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
18,"(1568, 1146)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
16,"(1324, 1256)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
17,"(1486, 976)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
18,"(1998, 966)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
16,"(1324, 1040)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
